vendor,ingredient,avg_cost_per_sandwich
Loblaws,bread,1.92303478298322
Loblaws,ham,0.79293757665885
Loblaws,lettuce,0.37500992489591
Loblaws,tomatoes,0.299369397725824
Metro,bread,1.77480082133501
Metro,ham,2.25288612434284
Metro,lettuce,9.62948468100841
Metro,tomatoes,0.254702064478405
NoFrills,bread,1.40239286905954
NoFrills,ham,0.510660827508817
NoFrills,lettuce,0.531773673125348
NoFrills,tomatoes,0.510974522357283
SaveOnFoods,bread,1.95380217361241
SaveOnFoods,ham,0.552674202446154
SaveOnFoods,lettuce,0.671504392715478
SaveOnFoods,tomatoes,0.301477060523789
TandT,bread,2.18667856781321
TandT,ham,0.744555322011598
TandT,lettuce,0.261608290748132
TandT,tomatoes,0.528051700810587
Voila,bread,1.93959278139756
Voila,ham,1.05467460661785
Voila,lettuce,0.503028838451419
Voila,tomatoes,0.634610306900925
Walmart,bread,1.94103532488542
Walmart,ham,0.846206796831578
Walmart,lettuce,0.35767208446445
Walmart,tomatoes,0.335054309032948
